Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.794889992902768,0.632398753894081,0.5427807486631016,0.5841726618705037,0.8403213722906818
XGBoost (Tuned),0.7977288857345636,0.6508474576271186,0.5133689839572193,0.5739910313901345,0.8468818620992535
KNN,0.7679205110007097,0.5633423180592992,0.5588235294117647,0.5610738255033557,0.788895347335245
SVM,0.7920511000709723,0.6421052631578947,0.4893048128342246,0.5553869499241275,0.8358598775478571
Random Forest,0.7955997161107168,0.6666666666666666,0.45989304812834225,0.5443037974683544,0.8276705675682658
XGBoost,0.7757274662881476,0.5911949685534591,0.5026737967914439,0.5433526011560693,0.8172078844713115
Decision Tree,0.7608232789212207,0.5562310030395137,0.4893048128342246,0.5206258890469416,0.6750226045622465
Random Forest (Tuned),0.7352732434350603,1.0,0.00267379679144385,0.005333333333333333,0.815562272339766
